            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2397855.500000000, A.D. 1853-Jan-02 00:00:00.0000,  4.281607460909618E+09, -1.319093775209217E+09, -7.148226120014846E+07,  1.358454963548020E+05,  4.514252425318505E+05, -1.239903683040505E+04,
2397865.500000000, A.D. 1853-Jan-12 00:00:00.0000,  4.282964313729319E+09, -1.314579141916633E+09, -7.160647350578654E+07,  1.354103872668486E+05,  4.514770624889566E+05, -1.245595437273690E+04,
2397875.500000000, A.D. 1853-Jan-22 00:00:00.0000,  4.284316331641172E+09, -1.310062866845070E+09, -7.173056813658172E+07,  1.350538470640598E+05,  4.516926178670702E+05, -1.241574204344797E+04,
2397885.500000000, A.D. 1853-Feb-01 00:00:00.0000,  4.285663667603976E+09, -1.305545174212947E+09, -7.185468400271696E+07,  1.344913985279461E+05,  4.519224488525217E+05, -1.236291507113939E+04,
2397895.500000000, A.D. 1853-Feb-11 00:00:00.0000,  4.287006518958406E+09, -1.301025862802990E+09, -7.197870313239521E+07,  1.339716336271632E+05,  4.519801941654639E+05, -1.241464651747446E+04,
2397905.500000000, A.D. 1853-Feb-21 00:00:00.0000,  4.288344592917156E+09, -1.296504828126550E+09, -7.210255537022597E+07,  1.336298106883055E+05,  4.521264677271617E+05, -1.241618994087528E+04,
2397915.500000000, A.D. 1853-Mar-03 00:00:00.0000,  4.289677843539504E+09, -1.291982338251555E+09, -7.222639899432611E+07,  1.331360778976183E+05,  4.523910230788516E+05, -1.234299256851901E+04,
2397925.500000000, A.D. 1853-Mar-13 00:00:00.0000,  4.291006565838653E+09, -1.287458348037146E+09, -7.235020793518978E+07,  1.325527684375892E+05,  4.524947318345390E+05, -1.236457714745123E+04,
2397935.500000000, A.D. 1853-Mar-23 00:00:00.0000,  4.292330607356637E+09, -1.282932635298432E+09, -7.247383882987320E+07,  1.321731789653715E+05,  4.525745095400657E+05, -1.240406869150266E+04,
2397945.500000000, A.D. 1853-Apr-02 00:00:00.0000,  4.293649750530844E+09, -1.278405398811244E+09, -7.259740364526457E+07,  1.317600198150900E+05,  4.528276778052437E+05, -1.233797600014582E+04,
2397955.500000000, A.D. 1853-Apr-12 00:00:00.0000,  4.294964268605775E+09, -1.273876759395638E+09, -7.272097874194419E+07,  1.311624974884948E+05,  4.529994792862852E+05, -1.231716725055334E+04,
2397965.500000000, A.D. 1853-Apr-22 00:00:00.0000,  4.296274206828623E+09, -1.269346459400932E+09, -7.284440596240169E+07,  1.307080746152316E+05,  4.530455651778033E+05, -1.237479246029825E+04,
2397975.500000000, A.D. 1853-May-02 00:00:00.0000,  4.297579252399021E+09, -1.264814545065888E+09, -7.296770267070878E+07,  1.303510915413823E+05,  4.532468801306586E+05, -1.234009982967648E+04,
